1,-1,281,187,79,209
1,-1,56,144,93,295
1,-1,378,188,166,234
1,-1,203,207,45,133
1,-1,155,202,56,161
1,-1,136,190,41,176
4,-1,420,164,129,270
4,-1,262,195,78,199
4,-1,61,150,126,301
4,-1,175,208,55,155
4,-1,224,211,38,134
4,-1,155,205,38,144
5,-1,434,159,124,275
5,-1,262,188,72,193
5,-1,64,153,160,274
5,-1,228,212,42,135
5,-1,180,213,55,149
5,-1,106,162,69,178
6,-1,256,179,59,204
6,-1,441,174,107,250
6,-1,65,164,162,280
6,-1,177,216,54,144
6,-1,235,203,40,145
6,-1,109,166,67,158
6,-1,66,214,29,49
6,-1,191,202,35,68
7,-1,449,163,108,269
7,-1,241,190,70,180
7,-1,71,153,175,289
7,-1,185,234,53,120
7,-1,66,212,30,46
7,-1,115,166,72,177
8,-1,466,166,89,275
8,-1,244,174,61,215
8,-1,123,159,113,285
8,-1,201,217,44,143
9,-1,239,175,67,214
9,-1,470,158,86,266
9,-1,138,165,68,247
9,-1,209,223,29,123
10,-1,490,161,77,272
10,-1,227,180,80,208
10,-1,138,172,68,206
10,-1,207,207,32,156
11,-1,485,150,93,280
11,-1,218,194,90,191
11,-1,143,176,107,277
12,-1,492,156,94,276
12,-1,215,183,92,198
12,-1,154,151,92,290
13,-1,500,158,100,268
13,-1,161,145,103,302
13,-1,219,195,83,187
13,-1,268,207,43,109
14,-1,498,159,111,272
14,-1,159,138,138,303
14,-1,269,200,54,121
15,-1,176,149,106,296
15,-1,508,161,106,264
15,-1,279,206,47,132
16,-1,170,146,113,304
16,-1,510,169,113,261
16,-1,285,205,45,143
17,-1,513,168,113,270
17,-1,184,153,104,296
17,-1,284,201,62,141
18,-1,530,159,97,270
18,-1,295,203,48,138
18,-1,175,164,126,293
18,-1,173,181,53,209
18,-1,176,183,33,57
19,-1,539,153,99,281
19,-1,293,203,47,141
19,-1,189,154,116,306
19,-1,175,164,50,258
20,-1,537,161,100,263
20,-1,297,202,51,149
20,-1,165,178,55,215
20,-1,206,177,129,261
21,-1,161,174,65,210
21,-1,556,154,82,271
21,-1,308,214,51,137
21,-1,213,154,123,280
21,-1,0,179,31,114
21,-1,244,171,60,155
22,-1,149,174,70,217
22,-1,568,149,70,280
22,-1,207,176,158,273
22,-1,309,204,58,147
22,-1,0,190,33,118
23,-1,146,174,55,218
23,-1,222,166,146,285
23,-1,578,161,60,250
23,-1,315,211,51,139
23,-1,0,176,42,182
23,-1,219,187,50,185
23,-1,232,190,35,77
23,-1,261,164,60,170
24,-1,120,168,92,217
24,-1,0,173,43,249
24,-1,235,172,134,283
24,-1,587,167,49,194
24,-1,319,206,56,143
24,-1,237,193,33,63
24,-1,235,188,54,174
25,-1,128,175,78,217
25,-1,0,169,43,264
25,-1,250,175,116,283
25,-1,594,164,41,165
25,-1,234,188,54,165
26,-1,117,169,91,231
26,-1,276,156,95,306
26,-1,598,166,40,140
26,-1,1,162,48,271
26,-1,246,185,44,91
27,-1,108,165,98,234
27,-1,1,171,56,267
27,-1,246,183,38,83
27,-1,297,158,72,298
27,-1,336,191,41,147
27,-1,207,251,106,107
28,-1,291,153,98,297
28,-1,2,159,61,270
28,-1,94,160,106,229
28,-1,247,189,39,84
28,-1,240,202,58,156
29,-1,101,173,87,220
29,-1,3,167,64,267
29,-1,296,158,106,292
29,-1,233,235,81,127
29,-1,252,188,36,92
29,-1,282,197,31,90
30,-1,1,165,84,255
30,-1,84,180,104,212
30,-1,298,156,107,287
30,-1,236,204,84,166
30,-1,260,193,34,76
30,-1,278,197,33,94
31,-1,298,164,120,292
31,-1,6,168,77,263
31,-1,79,174,79,225
31,-1,231,229,87,137
31,-1,261,194,30,78
31,-1,283,199,32,93
32,-1,78,173,61,232
32,-1,295,139,152,330
32,-1,254,191,64,175
32,-1,7,179,87,243
32,-1,263,198,36,79
32,-1,290,197,29,70
33,-1,301,154,146,301
33,-1,61,184,93,228
33,-1,256,197,63,165
33,-1,6,172,102,259
34,-1,325,158,131,301
34,-1,14,186,129,228
34,-1,253,199,91,152
35,-1,326,168,131,291
35,-1,21,178,112,249
35,-1,271,205,58,142
35,-1,181,202,28,45
36,-1,272,194,65,165
36,-1,345,160,125,302
36,-1,18,183,125,246
36,-1,179,201,31,47
37,-1,278,192,67,165
37,-1,29,189,100,225
37,-1,369,153,106,311
37,-1,26,163,78,122
38,-1,284,184,64,189
38,-1,375,155,113,316
38,-1,31,153,92,276
38,-1,34,166,68,86
39,-1,288,181,63,184
39,-1,33,160,103,265
39,-1,390,138,95,327
40,-1,407,143,88,316
40,-1,16,151,117,279
40,-1,289,192,69,175
40,-1,93,170,52,179
41,-1,400,139,99,320
41,-1,11,154,111,265
41,-1,304,198,52,145
41,-1,89,172,59,244
42,-1,412,147,102,311
42,-1,2,158,114,265
42,-1,296,192,74,181
42,-1,92,175,65,239
43,-1,416,152,111,296
43,-1,4,161,100,245
43,-1,303,192,73,182
43,-1,93,170,86,246
44,-1,419,135,114,330
44,-1,1,174,82,236
44,-1,303,205,80,155
44,-1,102,159,87,270
45,-1,1,163,79,247
45,-1,106,182,98,242
45,-1,418,147,118,313
45,-1,305,192,77,182
45,-1,148,177,54,104
46,-1,105,168,99,262
46,-1,305,195,76,174
46,-1,2,158,69,266
46,-1,424,133,130,319
47,-1,310,191,80,177
47,-1,111,160,107,261
47,-1,425,137,145,320
47,-1,0,167,51,201
48,-1,313,192,89,168
48,-1,435,138,148,330
48,-1,120,179,118,244
48,-1,0,173,42,153
49,-1,318,206,75,154
49,-1,132,178,103,251
49,-1,438,151,138,308
49,-1,0,184,30,88
49,-1,454,200,55,141
50,-1,130,180,115,251
50,-1,452,159,133,302
50,-1,319,197,76,165
50,-1,465,207,55,145
51,-1,322,200,86,163
51,-1,458,152,143,307
51,-1,140,182,115,250
52,-1,334,200,85,171
52,-1,478,160,125,310
52,-1,164,186,95,240
52,-1,473,221,35,120
53,-1,333,203,81,164
53,-1,491,151,116,315
53,-1,173,178,89,139
53,-1,472,212,53,131
54,-1,346,191,71,174
54,-1,186,177,86,256
54,-1,496,157,122,301
54,-1,476,205,53,147
55,-1,512,142,115,318
55,-1,352,192,67,174
55,-1,193,184,78,253
55,-1,482,207,58,140
56,-1,197,171,93,252
56,-1,524,146,100,305
56,-1,353,201,63,146
56,-1,391,216,46,145
56,-1,485,208,86,147
57,-1,207,171,87,250
57,-1,526,151,107,308
57,-1,359,203,72,160
57,-1,488,209,83,142
58,-1,537,160,101,297
58,-1,207,169,105,254
58,-1,362,202,74,171
58,-1,494,212,72,139
59,-1,368,194,70,173
59,-1,551,145,85,311
59,-1,210,179,129,244
59,-1,495,223,70,137
60,-1,221,177,137,244
60,-1,365,200,82,171
60,-1,538,156,100,312
60,-1,507,219,60,134
61,-1,222,185,143,241
61,-1,367,199,78,151
61,-1,534,152,104,319
61,-1,576,184,49,190
61,-1,516,215,61,135
61,-1,419,203,33,140
62,-1,226,191,136,244
62,-1,371,204,73,160
62,-1,544,176,94,286
62,-1,517,203,57,140
62,-1,418,208,43,146
63,-1,249,182,113,252
63,-1,389,199,65,178
63,-1,532,202,49,142
63,-1,540,187,96,269
63,-1,592,210,37,134
64,-1,275,173,91,265
64,-1,383,200,65,161
64,-1,532,207,47,139
64,-1,423,208,39,138
64,-1,600,200,31,99
65,-1,391,204,73,163
65,-1,289,169,85,263
65,-1,535,209,49,139
66,-1,537,210,55,135
66,-1,400,200,71,167
66,-1,296,164,89,281
67,-1,549,219,46,128
67,-1,392,201,85,160
67,-1,308,169,87,183
67,-1,436,208,32,116
68,-1,549,217,58,137
68,-1,309,183,99,251
68,-1,406,204,68,155
68,-1,451,214,38,149
69,-1,554,227,57,118
69,-1,407,199,81,174
69,-1,314,178,104,262
70,-1,322,167,103,271
70,-1,407,192,77,184
70,-1,555,219,59,132
70,-1,448,237,62,133
70,-1,366,170,52,114
71,-1,324,189,107,243
71,-1,421,202,74,164
71,-1,548,216,83,135
71,-1,164,214,36,26
